id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m
3726699,4719115,24000.0,24000.0,24000.0, 60 months,16.29,587.34,C,C4,Us Military,10+ years,MORTGAGE,72260.0,Verified,Mar-2013,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=3726699,,debt_consolidation,Payoff,318xx,GA,18.88,0.0,Dec-1994,1.0,,,10.0,0.0,34655.0,77.5,27.0,f,0.0,0.0,25592.6,25592.6,24000.0,1592.6,0.0,0.0,0.0,Aug-2013,23245.54,,Aug-2013,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,227803.0,,,,,,,,,,,,44700.0,,,
52321495,55781218,10000.0,10000.0,10000.0, 36 months,12.69,335.45,C,C2,Project Engineer,4 years,OWN,76000.0,Not Verified,Jun-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=52321495,,debt_consolidation,Debt consolidation,481xx,MI,6.96,0.0,Nov-1993,2.0,66.0,75.0,9.0,1.0,4032.0,37.0,27.0,f,8340.18,8340.18,2341.1,2341.1,1659.82,681.28,0.0,0.0,0.0,Jan-2016,335.45,Feb-2016,Jan-2016,0.0,68.0,1.0,INDIVIDUAL,,,,0.0,0.0,11619.0,,,,,,,,,,,,11000.0,,,
18594611,20757304,20000.0,20000.0,20000.0, 60 months,9.17,416.82,B,B1,Associate Attorney,2 years,MORTGAGE,80000.0,Source Verified,Jun-2014,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=18594611,,credit_card,Credit card refinancing,860xx,AZ,10.68,0.0,Feb-1995,0.0,,,6.0,0.0,20843.0,63.2,28.0,f,14623.89,14623.89,7919.58,7919.58,5376.11,2543.47,0.0,0.0,0.0,Jan-2016,416.82,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,487160.0,,,,,,,,,,,,33000.0,,,
62296918,66493677,22575.0,22575.0,22325.0, 36 months,16.99,804.75,D,D3,Nurse Practitioner,< 1 year,RENT,90000.0,Verified,Oct-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=62296918,,credit_card,Credit card refinancing,083xx,NJ,28.08,0.0,Aug-2007,3.0,,43.0,32.0,6.0,18820.0,29.1,53.0,f,21597.88,21358.7,1566.88,1549.53,977.12,589.76,0.0,0.0,0.0,Dec-2015,804.75,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,164269.0,,,,,,,,,,,,64700.0,,,
55392241,58994016,5000.0,5000.0,5000.0, 36 months,9.99,161.32,B,B3,,,OWN,13788.0,Verified,Jul-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=55392241,,credit_card,Credit card refinancing,388xx,MS,25.59,0.0,Nov-1995,0.0,,117.0,9.0,1.0,6020.0,51.5,16.0,f,4391.48,4391.48,803.82,803.82,608.52,195.3,0.0,0.0,0.0,Dec-2015,161.32,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,301.0,6020.0,,,,,,,,,,,,11700.0,,,
61372299,65491123,16425.0,16425.0,16425.0, 36 months,11.53,541.87,B,B5,President,10+ years,MORTGAGE,80600.0,Not Verified,Oct-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=61372299,,credit_card,Credit card refinancing,454xx,OH,39.28,0.0,Dec-1996,0.0,,,16.0,0.0,161709.0,82.0,28.0,f,15261.73,15261.73,1604.57,1604.57,1163.27,441.3,0.0,0.0,0.0,Jan-2016,541.87,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,344298.0,,,,,,,,,,,,196900.0,,,
46833215,49980971,15000.0,15000.0,15000.0, 36 months,8.18,471.3,B,B1,Director of Development,10+ years,MORTGAGE,64000.0,Not Verified,Apr-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=46833215,,credit_card,Credit card refinancing,800xx,CO,18.28,0.0,Dec-1998,0.0,,,14.0,0.0,25294.0,68.4,21.0,w,11976.19,11976.19,3763.58,3763.58,3023.81,739.77,0.0,0.0,0.0,Dec-2015,471.3,Jan-2016,Dec-2015,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,314290.0,,,,,,,,,,,,37000.0,,,
4785074,6057252,10000.0,10000.0,10000.0, 36 months,13.11,337.47,B,B4,del taco llc,4 years,MORTGAGE,65000.0,Not Verified,May-2013,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=4785074,,credit_card,Credit card refinancing,891xx,NV,19.3,0.0,May-2001,1.0,69.0,,17.0,0.0,13117.0,52.7,24.0,f,0.0,0.0,11818.5560453,11818.56,10000.0,1818.56,0.0,0.0,0.0,Mar-2015,4736.1,,Aug-2015,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,252289.0,,,,,,,,,,,,24900.0,,,
1272036,1515449,6900.0,6900.0,6900.0, 36 months,17.27,246.94,D,D1,R2 School District,10+ years,OWN,60000.0,Source Verified,May-2012,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1272036,,other,Pay the IRS,810xx,CO,17.48,0.0,Feb-1998,0.0,,,5.0,0.0,0.0,,9.0,f,0.0,0.0,8150.0,8150.0,6900.0,1250.0,0.0,0.0,0.0,Aug-2013,4700.71,,Aug-2013,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,
23042877,25395821,1000.0,1000.0,1000.0, 36 months,19.52,36.92,E,E2,security specialist,10+ years,RENT,21000.0,Not Verified,Jul-2014,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=23042877,,credit_card,Credit card refinancing,339xx,FL,33.26,0.0,Jan-2004,1.0,,,5.0,0.0,10335.0,94.0,6.0,f,599.27,599.27,627.64,627.64,400.73,226.91,0.0,0.0,0.0,Jan-2016,36.92,Jan-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,13896.0,,,,,,,,,,,,11000.0,,,
66590257,71315972,26625.0,26625.0,26625.0, 36 months,7.89,832.99,A,A5,Manager Global Logistics,10+ years,MORTGAGE,113000.0,Verified,Dec-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=66590257,,debt_consolidation,Debt consolidation,479xx,IN,13.06,0.0,Jan-1994,0.0,43.0,45.0,15.0,1.0,46001.0,54.8,40.0,w,25967.07,25967.07,821.32,821.32,657.93,163.39,0.0,0.0,0.0,Jan-2016,832.99,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,127.0,254165.0,,,,,,,,,,,,83900.0,,,
64089157,68519937,12000.0,12000.0,12000.0, 36 months,10.99,392.81,B,B4,Legal Secretary,3 years,MORTGAGE,53000.0,Not Verified,Nov-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=64089157,,debt_consolidation,Debt consolidation,606xx,IL,23.08,0.0,Apr-2001,1.0,27.0,,14.0,0.0,10370.0,53.5,26.0,f,11431.59,11431.59,770.97,770.97,568.41,202.56,0.0,0.0,0.0,Jan-2016,392.81,Feb-2016,Jan-2016,0.0,27.0,1.0,INDIVIDUAL,,,,0.0,0.0,217189.0,,,,,,,,,,,,19400.0,,,
23866472,26238939,18000.0,18000.0,18000.0, 60 months,14.49,423.42,C,C4,inventory controller,10+ years,MORTGAGE,72000.0,Not Verified,Aug-2014,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=23866472,,debt_consolidation,Debt consolidation,453xx,OH,6.98,1.0,Oct-1999,1.0,11.0,,9.0,0.0,6211.0,49.7,27.0,w,14386.78,14386.78,6774.72,6774.72,3613.22,3161.5,0.0,0.0,0.0,Dec-2015,423.42,Jan-2016,Jan-2016,0.0,39.0,1.0,INDIVIDUAL,,,,0.0,0.0,267935.0,,,,,,,,,,,,12500.0,,,
46265410,49373159,15000.0,15000.0,15000.0, 36 months,8.18,471.3,B,B1,Supervisor,2 years,RENT,47000.0,Verified,Apr-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=46265410,,debt_consolidation,Debt consolidation,104xx,NY,17.01,0.0,Aug-2001,2.0,73.0,,17.0,0.0,7233.0,19.0,47.0,f,11586.53,11586.53,4228.07,4228.07,3413.47,814.6,0.0,0.0,0.0,Jan-2016,471.3,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,59045.0,,,,,,,,,,,,38100.0,,,
23945211,26317869,20225.0,20225.0,20225.0, 36 months,8.39,637.43,A,A5,epsu tech.,10+ years,RENT,45000.0,Source Verified,Sep-2014,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=23945211,,credit_card,Credit card refinancing,846xx,UT,20.67,0.0,Mar-1999,3.0,,,10.0,0.0,12916.0,36.5,18.0,w,0.0,0.0,7385.58,7385.58,3545.85,916.16,0.0,2923.57,526.242600003,Apr-2015,637.43,,Sep-2015,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,22115.0,,,,,,,,,,,,35400.0,,,
8575563,10337655,10000.0,10000.0,10000.0, 36 months,12.99,336.9,B,B4,Securty,6 years,MORTGAGE,75000.0,Not Verified,Nov-2013,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=8575563,,other,Other,080xx,NJ,2.42,0.0,Sep-2006,0.0,59.0,,7.0,0.0,2783.0,30.2,13.0,f,3176.88,3176.88,8758.8,8758.8,6823.12,1935.68,0.0,0.0,0.0,Jan-2016,336.9,Feb-2016,Jan-2016,0.0,59.0,1.0,INDIVIDUAL,,,,0.0,79.0,160672.0,,,,,,,,,,,,9200.0,,,
19077754,21280303,13000.0,13000.0,13000.0, 60 months,15.61,313.45,D,D1,Truck driver,7 years,MORTGAGE,68000.0,Source Verified,Jun-2014,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=19077754,,debt_consolidation,Debt consolidation,760xx,TX,18.16,0.0,Jan-2007,1.0,,104.0,16.0,1.0,4499.0,23.9,24.0,w,9911.48,9911.48,5955.55,5955.55,3088.52,2867.03,0.0,0.0,0.0,Jan-2016,313.45,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,145040.0,,,,,,,,,,,,18800.0,,,
61468992,65587720,13000.0,13000.0,13000.0, 36 months,7.89,406.72,A,A5,VP Sales and Marketing,8 years,RENT,76000.0,Source Verified,Oct-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=61468992,,debt_consolidation,Debt consolidation,787xx,TX,20.18,0.0,Aug-2002,0.0,73.0,,10.0,0.0,8890.0,40.0,19.0,w,12029.92,12029.92,1220.15,1220.15,970.08,250.07,0.0,0.0,0.0,Jan-2016,406.72,Feb-2016,Jan-2016,0.0,73.0,1.0,INDIVIDUAL,,,,0.0,0.0,55755.0,,,,,,,,,,,,22200.0,,,
38658406,41442290,12000.0,12000.0,12000.0, 60 months,10.49,257.87,B,B3,Custodian,10+ years,MORTGAGE,61000.0,Not Verified,Jan-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=38658406,,debt_consolidation,Debt consolidation,118xx,NY,15.6,0.0,Aug-2001,1.0,47.0,,11.0,0.0,112785.0,44.7,21.0,w,10073.48,10073.48,3080.45,3080.45,1926.52,1153.93,0.0,0.0,0.0,Jan-2016,257.87,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,398347.0,,,,,,,,,,,,134600.0,,,
55877263,59518979,12000.0,12000.0,12000.0, 60 months,19.19,312.55,E,E3,Scanning technician ,1 year,MORTGAGE,55000.0,Verified,Aug-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=55877263,,moving,Moving and relocation,117xx,NY,23.77,2.0,Jun-1993,0.0,4.0,,9.0,0.0,9140.0,59.7,20.0,w,11377.15,11377.15,1537.16,1537.16,622.85,914.31,0.0,0.0,0.0,Jan-2016,312.55,Feb-2016,Jan-2016,0.0,72.0,1.0,INDIVIDUAL,,,,0.0,0.0,156619.0,,,,,,,,,,,,15300.0,,,
12489236,14501383,11500.0,11500.0,11500.0, 36 months,9.67,369.3,B,B1,Engineer,4 years,RENT,70000.0,Source Verified,Mar-2014,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12489236,,credit_card,Credit card refinancing,322xx,FL,16.66,0.0,Aug-2004,1.0,,,7.0,0.0,11203.0,57.5,18.0,w,0.0,0.0,12560.88,12560.88,11500.0,1060.88,0.0,0.0,0.0,Apr-2015,8129.28,,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,73202.0,,,,,,,,,,,,19500.0,,,
8636661,10408647,6000.0,6000.0,6000.0, 36 months,13.67,204.11,B,B5,Engine Mechanic,3 years,RENT,47000.0,Source Verified,Nov-2013,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=8636661,,debt_consolidation,first loan,921xx,CA,22.35,0.0,May-2007,2.0,35.0,,16.0,0.0,6772.0,59.4,34.0,w,0.0,0.0,3061.65,3061.65,2207.08,854.57,0.0,0.0,0.0,Feb-2015,204.11,,Jan-2016,0.0,48.0,1.0,INDIVIDUAL,,,,0.0,135.0,38810.0,,,,,,,,,,,,11400.0,,,
29133824,31677002,10750.0,10750.0,10750.0, 36 months,16.99,383.22,D,D3,Quality technician ,< 1 year,RENT,30000.0,Not Verified,Oct-2014,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=29133824,,house,Home buying,550xx,MN,4.52,0.0,Nov-2003,1.0,,,10.0,0.0,0.0,0.0,24.0,w,6919.3,6919.3,5728.01,5728.01,3830.7,1897.31,0.0,0.0,0.0,Jan-2016,383.22,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,8097.0,,,,,,,,,,,,22800.0,,,
802269,1007907,6000.0,6000.0,6000.0, 36 months,8.49,189.38,A,A5,Giant Food,5 years,RENT,30000.0,Not Verified,Jul-2011,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=802269,,debt_consolidation,Credit card consolidation,210xx,MD,20.28,0.0,Oct-1999,0.0,,87.0,6.0,1.0,2940.0,45.9,16.0,f,0.0,0.0,6695.93,6695.93,6000.0,695.93,0.0,0.0,0.0,Jun-2013,2562.37,,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,
22322340,24645185,5050.0,5050.0,5050.0, 36 months,17.57,181.49,D,D4,SUPPLY MGT ANALYST,10+ years,RENT,56285.0,Not Verified,Jul-2014,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=22322340,,debt_consolidation,Debt consolidation,063xx,CT,11.86,0.0,Mar-1999,1.0,,,10.0,0.0,4329.0,59.0,23.0,f,2990.98,2990.98,3085.33,3085.33,2059.02,1026.31,0.0,0.0,0.0,Dec-2015,181.49,Feb-2016,Jan-2016,0.0,36.0,1.0,INDIVIDUAL,,,,0.0,0.0,8591.0,,,,,,,,,,,,7350.0,,,
13178307,15210493,4000.0,4000.0,4000.0, 36 months,12.49,133.8,B,B4,Production Clerk,< 1 year,RENT,29400.0,Not Verified,Mar-2014,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=13178307,,debt_consolidation,Debt consolidation,917xx,CA,23.02,0.0,Oct-1999,1.0,55.0,,10.0,0.0,2913.0,29.7,22.0,f,1849.12,1849.12,2809.8,2809.8,2150.88,658.92,0.0,0.0,0.0,Jan-2016,133.8,Jan-2016,Jan-2016,0.0,55.0,1.0,INDIVIDUAL,,,,0.0,122.0,10669.0,,,,,,,,,,,,9800.0,,,
460294,574395,10000.0,10000.0,10000.0, 36 months,8.59,316.11,A,A4,SEI Investments,3 years,RENT,38000.0,Not Verified,Dec-2009,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=460294,"  574395 added on 11/20/09 > Why I want to get out of credit card debt?  The best place to start is how I got into the debt to begin with. It wasn't due to irresponsible spending on the pleasures of life.  One credit (@ $4900) card was used to help my mom, who was laid off over a year ago get her prescriptions.  They ran about $500 a month.  The other card (@ $3800) was at $5K and was opened to put new carpets in my mom's house because the other carpets had been in the house for over 30 years.  Was she supposed to help pay this off once she got a job?  Yes.  However, in this economy a job for someone in their mid 50's with good pay is hard to come by.  The final card (@ $950) is my one card that I use to get by, if I need to.  I don't have to include this card but since I asked for $10K I might as well pay that one off too... Please help me get out of this credit card debt!  Thank you<br/>",debt_consolidation,out of debt,193xx,PA,23.34,0.0,Nov-2000,0.0,,,10.0,0.0,9527.0,44.7,30.0,f,0.0,0.0,11050.12,11050.12,9999.99,1050.13,0.0,0.0,0.0,Jul-2011,5363.4,,Jul-2011,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,
12856940,14879054,18025.0,18025.0,18025.0, 36 months,9.67,578.83,B,B1,Financial Analyst,4 years,MORTGAGE,70000.0,Source Verified,Mar-2014,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12856940,"  Borrower added on 03/13/14 > Consolidating current LC loan at 14.98% APR with payment of 590, three loans with remaining balance, current monthly payment of 300.<br>",debt_consolidation,Debt consolidation,786xx,TX,25.08,1.0,May-1999,1.0,19.0,,24.0,0.0,4923.0,10.7,48.0,w,0.0,0.0,19700.83,19700.83,18025.0,1675.83,0.0,0.0,0.0,Apr-2015,12754.87,,May-2015,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,206738.0,,,,,,,,,,,,48500.0,,,
67396711,72208452,35000.0,35000.0,34600.0, 60 months,18.49,898.13,E,E2,Division Chief,10+ years,MORTGAGE,110000.0,Verified,Dec-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=67396711,,debt_consolidation,Debt consolidation,331xx,FL,17.23,1.0,Aug-1991,0.0,14.0,,10.0,0.0,43036.0,89.7,15.0,f,35000.0,34600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Feb-2016,Jan-2016,0.0,14.0,1.0,INDIVIDUAL,,,,0.0,0.0,843721.0,0.0,1.0,1.0,1.0,7.0,7475.0,83.5,0.0,0.0,12418.0,88.7,48000.0,0.0,0.0,2.0
29575529,32108776,30000.0,30000.0,30000.0, 60 months,14.49,705.7,C,C4,Leader,10+ years,RENT,82273.68,Verified,Oct-2014,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=29575529,,debt_consolidation,Debt consolidation,283xx,NC,25.41,0.0,Sep-1998,0.0,58.0,,10.0,0.0,32349.0,57.9,33.0,w,24795.46,24795.46,9855.65,9855.65,5204.54,4651.11,0.0,0.0,0.0,Jan-2016,705.7,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,228088.0,,,,,,,,,,,,55900.0,,,
5876034,7338172,28000.0,28000.0,27950.0, 60 months,16.78,692.57,C,C5,Tang Electric,7 years,MORTGAGE,105000.0,Source Verified,Jul-2013,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=5876034,,debt_consolidation,clean up my dept,210xx,MD,7.6,0.0,Oct-1999,0.0,,,6.0,0.0,16809.0,96.1,12.0,f,0.0,0.0,11716.67,11695.76,3895.51,4397.41,0.0,3423.75,34.058299994,Jul-2014,692.57,,Dec-2014,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,286281.0,,,,,,,,,,,,17500.0,,,
